title,genre,platform,developer,publisher,fn_userscore_type,fn_userscore,fn_metascore_type,fn_metascore
Crysis 3 Remastered,"Action, Shooter, First-Person, Arcade",PC,Crytek,Crytek,Mixed or average reviews,6.6,No score yet,nan
Tunche,"Action, Beat-'Em-Up, 2D",PC,LEAP Game Studios,LEAP Game Studios,Mixed or average reviews,6.6,Mixed or average reviews,67
F.I.S.T.: Forged In Shadow Torch,"Action Adventure, Open-World",PC,TIGAMES,bilibili,Mixed or average reviews,6.8,Generally favorable reviews,79
Time Loader,"Adventure, Puzzle, Action, General",PC,Flazm,Flazm,Mixed or average reviews,6.8,Generally favorable reviews,79
Agatha Christie - Hercule Poirot: The First Cases,"Adventure, General",PC,Blazing Griffin,Microids,Mixed or average reviews,6.9,No score yet,nan
Castlevania Advance Collection,"Miscellaneous, Compilation",PC,Konami,Konami,Mixed or average reviews,6.9,No score yet,nan
I Am Fish,"Action, General, Platformer, 3D",PC,Bossa Studios,Bossa Studios,Mixed or average reviews,6.9,Mixed or average reviews,69
Astria Ascending,"Role-Playing, Japanese-Style",PC,Artisan Studios,Dear Villagers,Mixed or average reviews,6.7,Mixed or average reviews,68
Nickelodeon All-Star Brawl,"Action, Fighting, 2D",PC,Ludosity Interactive,GameMill Entertainment,Mixed or average reviews,6.8,Mixed or average reviews,66
Grand Theft Auto: The Trilogy - The Definitive Edition,"Miscellaneous, Compilation",Switch,Rockstar Games,Rockstar Games,Overwhelming dislike,0.7,Generally unfavorable reviews,47
Forza Horizon 5,"Racing, Simulation, Automobile",PC,Playground Games,Xbox Game Studios,Mixed or average reviews,6.9,Universal acclaim,91
FIFA 22: Legacy Edition,"Sports, Team, Soccer, Sim",Switch,EA Canada,Electronic Arts,Overwhelming dislike,1.4,No score yet,nan
Halo Infinite,"Action, Shooter, First-Person, Arcade",PC,343 Industries,Microsoft Game Studios,Mixed or average reviews,7.0,Generally favorable reviews,82
Gas Station Simulator,"Simulation, Virtual, Career",PC,Drago Entertainment,Movie Games S.A.,Mixed or average reviews,7.0,Mixed or average reviews,70
Crysis Remastered Trilogy,"Miscellaneous, Compilation",PC,Crytek,Crytek,Mixed or average reviews,7.0,Generally favorable reviews,79
Popeye,"Action, Adventure, Platformer, Third-Person, 3D",Switch,Sabec Limited,Sabec Limited,Overwhelming dislike,0.0,No score yet,nan
Asterix & Obelix: Slap Them All!,"Action, Platformer, Beat-'Em-Up, 2D, 3D",Switch,Mr.  Nutz Studio,Microids,Generally unfavorable reviews,2.4,No score yet,nan
Diablo II: Resurrected,"Role-Playing, Action RPG",Switch,Blizzard Entertainment,Blizzard Entertainment,Generally unfavorable reviews,2.7,Generally favorable reviews,78
SkateBIRD,"Sports, Individual, Skate / Skateboard",Switch,Glass Bottom Games,Glass Bottom Games,Generally unfavorable reviews,3.0,Mixed or average reviews,53
Real Boxing 2,"Sports, Individual, Combat, Boxing / Martial Arts",Switch,Vivid Games,QubicGames,Generally unfavorable reviews,3.3,No score yet,nan
Pokemon Brilliant Diamond,"Role-Playing, Trainer",Switch,"ILCA, Inc.",Nintendo,Mixed or average reviews,5.5,Mixed or average reviews,74
Crysis 3 Remastered,"Action, Shooter, First-Person, Arcade",Switch,Crytek,Crytek,Mixed or average reviews,5.5,No score yet,nan
Crysis Remastered Trilogy,"Miscellaneous, Compilation",Switch,Crytek,Crytek,Mixed or average reviews,5.6,Generally favorable reviews,75
The Caligula Effect 2,"Role-Playing, General",Switch,historia Inc,NIS America,Mixed or average reviews,5.8,Generally favorable reviews,77
Just Dance 2022,"Action, Rhythm, Dancing",Switch,Ubisoft,Ubisoft,Mixed or average reviews,6.0,Mixed or average reviews,71
The Good Life,"Role-Playing, General",Switch,White Owls,Playism,Mixed or average reviews,6.2,Mixed or average reviews,50
Pokemon Shining Pearl,"Role-Playing, Trainer",Switch,"ILCA, Inc.",Nintendo,Mixed or average reviews,6.3,Mixed or average reviews,74
Nickelodeon All-Star Brawl,"Action, Miscellaneous, Fighting, Party / Minigame, 2D",Switch,Ludosity Interactive,GameMill Entertainment,Mixed or average reviews,6.3,Mixed or average reviews,67
Marvel's Guardians of the Galaxy,"Role-Playing, Action Adventure, Action RPG, Linear",Switch,Eidos Montreal,Square Enix,Mixed or average reviews,6.9,Mixed or average reviews,58
Unpacking,"Puzzle, Action, General",Switch,Witch Beam,Witch Beam,Mixed or average reviews,6.9,Generally favorable reviews,87
Unsighted,"Role-Playing, Action RPG",Switch,Studio Pixel Punk,Humble Games,Mixed or average reviews,7.0,Generally favorable reviews,88
Ruined King: A League of Legends Story,"Role-Playing, General",Switch,Airship Syndicate Entertainment,Riot Forge,Mixed or average reviews,7.2,Generally favorable reviews,83
TOEM,"Adventure, General",Switch,Something We Made,Something We Made,Mixed or average reviews,7.2,Generally favorable reviews,80
Ice Station Z,"Action Adventure, Open-World",Switch,Wobbly Tooth Ltd,Wobbly Tooth Ltd,Mixed or average reviews,7.3,No score yet,nan
Super Monkey Ball: Banana Mania,"Party / Minigame, Miscellaneous, Compilation",Switch,Sega,Sega,Generally favorable reviews,7.5,Generally favorable reviews,76
Beast Breaker,"Action Adventure, Adventure, General",Switch,Vodeo Games,Vodeo Games,Generally favorable reviews,7.5,No score yet,nan
Nexomon,"Role-Playing, Trainer",Switch,VEWO Interactive Inc.,PQube,Generally favorable reviews,7.5,Generally favorable reviews,79
Big Brain Academy: Brain vs. Brain,"Miscellaneous, Party / Minigame",Switch,Nintendo,Nintendo,Generally favorable reviews,7.6,Mixed or average reviews,72
Hot Wheels Unleashed,"Racing, Arcade, Automobile",Switch,Milestone S.r.l,Koch Media,Generally favorable reviews,7.6,Mixed or average reviews,73
Toree 2,"Action, Platformer, 3D",Switch,Diplodocus Games,Diplodocus Games,Generally favorable reviews,7.6,No score yet,nan
Animal Crossing: New Horizons - Happy Home Paradise,"Simulation, Virtual, Virtual Life",Switch,Nintendo,Nintendo,Generally favorable reviews,7.7,Generally favorable reviews,81
Shin Megami Tensei V,"Role-Playing, General",Switch,Atlus,Atlus,Generally favorable reviews,7.7,Generally favorable reviews,85
Danganronpa Decadence,"Miscellaneous, Compilation",Switch,Spike Chunsoft,Spike Chunsoft,Generally favorable reviews,7.8,Generally favorable reviews,85
ActRaiser Renaissance,"Action Adventure, General",Switch,Square Enix,Square Enix,Generally favorable reviews,7.8,Generally favorable reviews,75
Dungeon Encounters,"Role-Playing, Japanese-Style",Switch,Square Enix,Square Enix,Generally favorable reviews,7.8,Generally favorable reviews,80
Evil Tonight,"Action Adventure, Survival",Switch,DYA Games,DYA Games,Generally favorable reviews,7.8,No score yet,nan
Star Wars: Knights of the Old Republic,"Role-Playing, General, Western-Style",Switch,Aspyr,Aspyr,Generally favorable reviews,7.9,Generally favorable reviews,83
Eastward,"Role-Playing, General",Switch,Pixpil,Chucklefish,Generally favorable reviews,8.0,Generally favorable reviews,78
Hextech Mayhem: A League of Legends Story,"Action, Platformer, 2D",Switch,Choice Provisions,Riot Games,Generally favorable reviews,8.0,Mixed or average reviews,66
Crysis 2 Remastered,"Action, Shooter, First-Person, Arcade",Switch,Crytek,Crytek,Generally favorable reviews,8.0,No score yet,nan
Killsquad,"Role-Playing, Action RPG",PC,Novarama,Novarama,Mixed or average reviews,7.0,Mixed or average reviews,73
Football Manager 2022,"Sports, Team, Soccer, Management",PC,Sports Interactive,Sega,Mixed or average reviews,7.1,Generally favorable reviews,86
Super Auto Pets,"Strategy, General",PC,Team Wood Games,Team Wood Games,Mixed or average reviews,7.2,No score yet,nan
Eastward,"Role-Playing, General",PC,Pixpil,Chucklefish,Mixed or average reviews,7.2,Generally favorable reviews,82
Bright Memory: Infinite,"Action, First-Person, Shooter, Arcade",PC,FYQD-Studio,Playism,Mixed or average reviews,7.2,Mixed or average reviews,67
Sherlock Holmes: Chapter One,"Action Adventure, Adventure, General, Open-World",PC,Frogwares,Frogwares,Mixed or average reviews,7.2,Generally favorable reviews,78
Dagon: by H. P. Lovecraft,"Adventure, General",PC,Bit Golem,Bit Golem,Mixed or average reviews,7.2,No score yet,nan
Voice of Cards: The Isle Dragon Roars,"Strategy, Turn-Based, Card Battle",PC,Square Enix,Square Enix,Mixed or average reviews,7.3,No score yet,nan
Severed Steel,"Action, Shooter, First-Person, Arcade",PC,Greylock Studio,Digerati Distribution,Mixed or average reviews,6.3,Generally favorable reviews,76
Hextech Mayhem: A League of Legends Story,"Action, Platformer, 2D",PC,Choice Provisions,Riot Games,Mixed or average reviews,7.3,Mixed or average reviews,72
Lemnis Gate,"Action, Shooter, First-Person, Arcade",PC,Ratloop Games Canada,Ratloop Games Canada,Mixed or average reviews,7.4,Generally favorable reviews,78
Flynn: Son of Crimson,"Action, Platformer, 2D",PC,Studio Thunderhorse,Studio Thunderhorse,Mixed or average reviews,7.4,Generally favorable reviews,86
Fights in Tight Spaces,"Strategy, Turn-Based, Card Battle",PC,Ground Shatter Ltd.,Mode 7 Games,Mixed or average reviews,7.4,Generally favorable reviews,81
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,"Action, Fighting, 3D",PC,CyberConnect2,Sega,Generally favorable reviews,7.5,No score yet,nan
Medieval Dynasty,"Action Adventure, Survival",PC,Render Cube,Toplitz Productions,Generally favorable reviews,7.5,Mixed or average reviews,73
Beast Breaker,"Action Adventure, Adventure, General",PC,Vodeo Games,Vodeo Games,Generally favorable reviews,7.6,No score yet,nan
ActRaiser Renaissance,"Action Adventure, General",PC,Square Enix,Square Enix,Generally favorable reviews,7.6,Generally favorable reviews,77
Exo One,"Simulation, Adventure, General, Space, Civilian",PC,Exbleative,Exbleative,Generally favorable reviews,7.6,Generally favorable reviews,81
AWAY: The Survival Series,"Action Adventure, Adventure, 3D, Open-World, First-Person",PC,Breaking Walls,Breaking Walls,Generally favorable reviews,7.6,Mixed or average reviews,52
